id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
ABW-17,0_0_0,20604,0,18,0,0,0,0.0,0,0,0,0,0,0,171.96546,66.70226,0,-0.0
ABX-20,0_0_0,19103,0,16,0,0,0,0.0,0,0,0,0,0,0,172.4331,65.3523,0,-0.0
ABU-19,0_0_0,19579,0,16,0,0,0,0.0,0,0,0,0,0,0,171.03018,65.62229,0,-0.0
ABV-19,0_0_0,22664,0,17,0,0,0,0.0,0,0,0,0,0,0,171.49782,65.89228,0,-0.02
ABV-18,0_0_0,21149,0,19,0,0,0,0.0,0,0,0,0,0,0,171.49782,66.43227,0,-0.0
ABY-19,0_0_0,18683,0,14,0,0,0,0.0,0,0,0,0,0,0,172.90074,65.62229,0,-0.0
ABW-18,0_0_0,21012,0,17,0,0,0,0.0,0,0,0,0,0,0,171.96546,66.16227,0,-0.0
ABU-20,0_0_0,17335,0,14,0,0,0,0.0,0,0,0,0,0,0,171.03018,65.0823,0,-0.0
ABW-19,0_0_0,17600,0,15,0,0,0,0.0,0,0,0,0,0,0,171.96546,65.62229,0,-0.0
ABU-18,0_0_0,23209,0,19,0,0,0,0.0,0,0,0,0,0,0,171.03018,66.16227,0,-0.02
ABX-18,0_0_0,18336,0,14,0,0,0,0.0,0,0,0,0,0,0,172.4331,66.43227,0,-0.0
ABV-20,0_0_0,17107,0,13,0,0,0,0.0,0,0,0,0,0,0,171.49782,65.3523,0,-0.0
ABY-18,0_0_0,17456,0,14,0,0,0,0.0,0,0,0,0,0,0,172.90074,66.16227,0,-0.0
ABU-17,0_0_0,17970,0,17,0,0,0,0.0,0,0,0,0,0,0,171.03018,66.70226,0,-0.0
ABY-17,0_0_0,17076,0,15,0,0,0,0.0,0,0,0,0,0,0,172.90074,66.70226,0,-0.0
ABX-19,0_0_0,22176,0,17,0,0,0,0.0,0,0,0,0,0,0,172.4331,65.89228,0,-0.01
ABW-20,0_0_0,19154,0,16,0,0,0,0.0,0,0,0,0,0,0,171.96546,65.0823,0,-0.0
ABZ-19,0_0_0,16951,0,14,0,0,0,0.0,0,0,0,0,0,0,173.36838,65.89228,0,-0.0
ABZ-18,0_0_0,16489,0,11,0,0,0,0.0,0,0,0,0,0,0,173.36838,66.43227,0,-0.0
ABZ-17,0_0_0,17639,0,14,0,0,0,0.0,0,0,0,0,0,0,173.36838,66.97225,0,-0.0
ACG-19,0_0_0,21313,0,21,0,0,0,0.0,0,0,0,0,0,0,176.64186,65.62229,0,-0.01
ACI-19,0_0_0,19936,0,18,0,0,0,0.0,0,0,0,0,0,0,177.57714,65.62229,0,-0.0
ACG-18,0_0_0,20574,0,17,0,0,0,0.0,0,0,0,0,0,0,176.64186,66.16227,0,-0.0
ACJ-19,0_0_0,17233,0,13,0,0,0,0.0,0,0,0,0,0,0,178.04478,65.89228,0,-0.0
ACH-18,0_0_0,19583,0,15,0,0,0,0.0,0,0,0,0,0,0,177.1095,66.43227,0,-0.0
ACJ-20,0_0_0,22616,0,20,0,0,0,0.0,0,0,0,0,0,0,178.04478,65.3523,0,-0.02
ACJ-18,0_0_0,20154,0,15,0,0,0,0.0,0,0,0,0,0,0,178.04478,66.43227,0,-0.0
ACH-17,0_0_0,17279,0,14,0,0,0,0.0,0,0,0,0,0,0,177.1095,66.97225,0,-0.0
ACI-18,0_0_0,19418,0,16,0,0,0,0.0,0,0,0,0,0,0,177.57714,66.16227,0,-0.0
ACG-17,0_0_0,16751,0,13,0,0,0,0.0,0,0,0,0,0,0,176.64186,66.70226,0,-0.0
ACF-20,0_0_0,29270,0,24,0,0,0,0.0,0,0,0,0,0,0,176.17422,65.3523,0,-0.0
ACI-17,0_0_0,19890,0,16,0,0,0,0.0,0,0,0,0,0,0,177.57714,66.70226,0,-0.0
ACG-16,0_0_0,17576,0,14,0,0,0,0.0,0,0,0,0,0,0,176.64186,67.24224,0,-0.0
ACH-20,0_0_0,28059,0,24,0,0,0,0.0,0,0,0,0,0,0,177.1095,65.3523,0,-0.01
ACF-19,0_0_0,17411,0,13,0,0,0,0.0,0,0,0,0,0,0,176.17422,65.89228,0,-0.0
ACF-17,0_0_0,19714,0,16,0,0,0,0.0,0,0,0,0,0,0,176.17422,66.97225,0,-0.0
ACI-16,0_0_0,23592,0,20,0,0,0,0.0,0,0,0,0,0,0,177.57714,67.24224,0,-0.02
ACJ-21,0_0_0,10445,0,10,0,0,0,0.0,0,0,0,0,0,0,178.0595,64.6927,0,-0.0
ACH-19,0_0_0,18989,0,14,0,0,0,0.0,0,0,0,0,0,0,177.1095,65.89228,0,-0.0
ACF-18,0_0_0,21407,0,19,0,0,0,0.0,0,0,0,0,0,0,176.17422,66.43227,0,-0.01
ACE-15,0_0_0,16592,0,14,0,0,0,0.0,0,0,0,0,0,0,175.70658,67.78223,0,-0.0
ACG-15,0_0_0,18238,0,13,0,0,0,0.0,0,0,0,0,0,0,176.64186,67.78223,0,-0.0
ACD-15,0_0_0,21298,0,19,0,0,0,0.0,0,0,0,0,0,0,175.23894,68.05222,0,-0.0
ACF-14,0_0_0,17909,0,15,0,0,0,0.0,0,0,0,0,0,0,176.17422,68.5922,0,-0.0
ACD-13,0_0_0,16842,0,12,0,0,0,0.0,0,0,0,0,0,0,175.23894,69.13219,0,-0.0
ACE-12,0_0_0,13777,0,13,0,0,0,0.0,0,0,0,0,0,0,175.70658,69.40218,0,-0.0
ACE-13,0_0_0,23803,0,19,0,0,0,0.0,0,0,0,0,0,0,175.70658,68.8622,0,-0.03
ACE-11,0_0_0,6554,0,6,0,0,0,0.0,0,0,0,0,0,0,175.72388,69.88496,0,-0.0
ACF-13,0_0_0,17910,0,15,0,0,0,0.0,0,0,0,0,0,0,176.17422,69.13219,0,-0.0
ACF-12,0_0_0,8007,0,7,0,0,0,0.0,0,0,0,0,0,0,176.13711,69.77716,0,-0.0
ACE-16,0_0_0,15677,0,12,0,0,0,0.0,0,0,0,0,0,0,175.70658,67.24224,0,-0.0
ACF-15,0_0_0,17120,0,12,0,0,0,0.0,0,0,0,0,0,0,176.17422,68.05222,0,-0.0
ACE-14,0_0_0,16017,0,12,0,0,0,0.0,0,0,0,0,0,0,175.70658,68.32221,0,-0.0
ACG-11,0_0_0,7865,0,6,0,0,0,0.0,0,0,0,0,0,0,176.61321,69.73224,0,-0.0
ACG-14,0_0_0,21204,0,18,0,0,0,0.0,0,0,0,0,0,0,176.64186,68.32221,0,-0.0
ACF-16,0_0_0,15725,0,12,0,0,0,0.0,0,0,0,0,0,0,176.17422,67.51223,0,-0.0
ACA-16,0_0_0,17564,0,16,0,0,0,0.0,0,0,0,0,0,0,173.83602,67.24224,0,-0.0
ACB-15,0_0_0,19797,0,16,0,0,0,0.0,0,0,0,0,0,0,174.30366,68.05222,0,-0.0
ACB-14,0_0_0,20070,0,17,0,0,0,0.0,0,0,0,0,0,0,174.30366,68.5922,0,-0.0
ACA-13,0_0_0,18607,0,17,0,0,0,0.0,0,0,0,0,0,0,173.83602,68.8622,0,-0.0
ACA-12,0_0_0,15324,0,14,0,0,0,0.0,0,0,0,0,0,0,173.83602,69.40218,0,-0.0
ACD-12,0_0_0,8192,0,7,0,0,0,0.0,0,0,0,0,0,0,175.20286,69.84903,0,-0.0
ACC-16,0_0_0,18459,0,15,0,0,0,0.0,0,0,0,0,0,0,174.7713,67.24224,0,-0.0
ACA-14,0_0_0,21175,0,16,0,0,0,0.0,0,0,0,0,0,0,173.83602,68.32221,0,-0.0
ACC-11,0_0_0,8518,0,8,0,0,0,0.0,0,0,0,0,0,0,174.70878,69.86699,0,-0.0
ACB-16,0_0_0,19357,0,17,0,0,0,0.0,0,0,0,0,0,0,174.30366,67.51223,0,-0.0
ACD-14,0_0_0,21284,0,18,0,0,0,0.0,0,0,0,0,0,0,175.23894,68.5922,0,-0.0
ACC-13,0_0_0,17260,0,16,0,0,0,0.0,0,0,0,0,0,0,174.7713,68.8622,0,-0.0
ACA-11,0_0_0,8374,0,9,0,0,0,0.0,0,0,0,0,0,0,173.81945,69.88496,0,-0.0
ACB-13,0_0_0,17676,0,15,0,0,0,0.0,0,0,0,0,0,0,174.30366,69.13219,0,-0.0
ACC-12,0_0_0,14130,0,12,0,0,0,0.0,0,0,0,0,0,0,174.7713,69.40218,0,-0.0
ACC-14,0_0_0,17726,0,14,0,0,0,0.0,0,0,0,0,0,0,174.7713,68.32221,0,-0.0
ACB-12,0_0_0,8334,0,6,0,0,0,0.0,0,0,0,0,0,0,174.31353,69.88496,0,-0.0
ACD-16,0_0_0,19560,0,19,0,0,0,0.0,0,0,0,0,0,0,175.23894,67.51223,0,-0.0
ACA-15,0_0_0,20709,0,17,0,0,0,0.0,0,0,0,0,0,0,173.83602,67.78223,0,-0.0
ACC-15,0_0_0,21652,0,19,0,0,0,0.0,0,0,0,0,0,0,174.7713,67.78223,0,-0.01
ABR-16,0_0_0,27045,0,23,0,0,0,0.0,0,0,0,0,0,0,169.62725,67.51223,0,-0.01
ABT-17,0_0_0,21844,0,18,0,0,0,0.0,0,0,0,0,0,0,170.56254,66.97225,0,-0.01
ABT-16,0_0_0,19876,0,18,0,0,0,0.0,0,0,0,0,0,0,170.56254,67.51223,0,-0.0
ABS-16,0_0_0,21265,0,19,0,0,0,0.0,0,0,0,0,0,0,170.0949,67.24224,0,-0.0
ABO-17,0_0_0,21312,0,17,0,0,0,0.0,0,0,0,0,0,0,168.22433,66.70226,0,-0.01
ABP-17,0_0_0,15358,0,14,0,0,0,0.0,0,0,0,0,0,0,168.69197,66.97225,0,-0.0
ABQ-15,0_0_0,24429,0,22,0,0,0,0.0,0,0,0,0,0,0,169.15961,67.78223,0,-0.02
ABN-16,0_0_0,16381,0,15,0,0,0,0.0,0,0,0,0,0,0,167.75669,67.51223,0,-0.0
ABN-15,0_0_0,20497,0,18,0,0,0,0.0,0,0,0,0,0,0,167.75669,68.05222,0,-0.0
ABS-15,0_0_0,17813,0,15,0,0,0,0.0,0,0,0,0,0,0,170.0949,67.78223,0,-0.0
ABO-16,0_0_0,14647,0,12,0,0,0,0.0,0,0,0,0,0,0,168.22433,67.24224,0,-0.0
ABP-15,0_0_0,20286,0,17,0,0,0,0.0,0,0,0,0,0,0,168.69197,68.05222,0,-0.0
ABR-17,0_0_0,18651,0,15,0,0,0,0.0,0,0,0,0,0,0,169.62725,66.97225,0,-0.0
ABS-17,0_0_0,16662,0,14,0,0,0,0.0,0,0,0,0,0,0,170.0949,66.70226,0,-0.0
ABN-17,0_0_0,20680,0,18,0,0,0,0.0,0,0,0,0,0,0,167.75669,66.97225,0,-0.0
ABQ-17,0_0_0,19924,0,17,0,0,0,0.0,0,0,0,0,0,0,169.15961,66.70226,0,-0.0
ABQ-16,0_0_0,17141,0,13,0,0,0,0.0,0,0,0,0,0,0,169.15961,67.24224,0,-0.0
ABP-16,0_0_0,17746,0,17,0,0,0,0.0,0,0,0,0,0,0,168.69197,67.51223,0,-0.0
ABO-15,0_0_0,20823,0,17,0,0,0,0.0,0,0,0,0,0,0,168.22433,67.78223,0,-0.0
ABN-18,0_0_0,21201,0,17,0,0,0,0.0,0,0,0,0,0,0,167.75669,66.43227,0,-0.0
ABL-17,0_0_0,17627,0,15,0,0,0,0.0,0,0,0,0,0,0,166.82141,66.97225,0,-0.0
ABK-15,0_0_0,16532,0,15,0,0,0,0.0,0,0,0,0,0,0,166.35377,67.78223,0,-0.0
ABG-16,0_0_0,18840,0,16,0,0,0,0.0,0,0,0,0,0,0,164.48321,67.24224,0,-0.0
ABM-15,0_0_0,14170,0,13,0,0,0,0.0,0,0,0,0,0,0,167.28905,67.78223,0,-0.0
ABK-17,0_0_0,16494,0,12,0,0,0,0.0,0,0,0,0,0,0,166.35377,66.70226,0,-0.0
ABL-16,0_0_0,21166,0,17,0,0,0,0.0,0,0,0,0,0,0,166.82141,67.51223,0,-0.0
ABM-17,0_0_0,17541,0,15,0,0,0,0.0,0,0,0,0,0,0,167.28905,66.70226,0,-0.0
ABI-16,0_0_0,17659,0,15,0,0,0,0.0,0,0,0,0,0,0,165.41849,67.24224,0,-0.0
ABJ-15,0_0_0,16927,0,14,0,0,0,0.0,0,0,0,0,0,0,165.88613,68.05222,0,-0.0
ABH-16,0_0_0,20595,0,17,0,0,0,0.0,0,0,0,0,0,0,164.95085,67.51223,0,-0.0
